h(theta) = g(z),J-theta1 when y = 1,J-theta2 when y = 0 
0.352,0.453457336521869,0.188424994129407
0.353,0.452225294612177,0.1890957193313
0.354,0.450996737974212,0.189767482004916
0.355,0.449771646944906,0.190440285364732
0.356,0.448550002027124,0.191114132640188
0.357,0.447331783887806,0.191789027075778
0.358,0.446116973356125,0.192464971931147
0.359,0.444905551421681,0.193141970481183
0.36,0.443697499232712,0.193820026016113
0.361,0.442492798094342,0.1944991418416
0.362,0.441291429466834,0.195179321278838
0.363,0.440093374963887,0.19586056766465
0.364,0.438898616350944,0.196542884351586
0.365,0.437707135543525,0.197226274708024
0.366,0.436518914605589,0.197910742118268
0.367,0.43533393574791,0.198596289982645
0.368,0.434152181326482,0.199282921717615
0.369,0.432973633840939,0.199970640755866
0.37,0.431798275933005,0.200659450546418
0.371,0.430626090384954,0.201349354554731
0.372,0.429457060118102,0.202040356262804
0.373,0.428291168191312,0.202732459169284
0.374,0.427128397799519,0.20342566678957
0.375,0.425968732272281,0.204119982655925
0.376,0.424812155072339,0.204815410317576
0.377,0.423658649794207,0.20551195334083
0.378,0.422508200162774,0.206209615309182
0.379,0.421360790031927,0.20690839982342
0.38,0.420216403383189,0.207608310501746
0.381,0.41907502432438,0.208309350979882
0.382,0.417936637088291,0.209011524911184
0.383,0.416801226031377,0.209714835966758
0.384,0.415668775632469,0.210419287835575
0.385,0.414539270491499,0.211124884224583
0.386,0.413412695328245,0.211831628858833
0.387,0.412289034981088,0.212539525481585
0.388,0.411168274405792,0.213248577854439
0.389,0.410050398674292,0.213958789757446
0.39,0.4089353929735,0.214670164989233
0.391,0.407823242604133,0.215382707367125
0.392,0.406713932979542,0.216096420727265
0.393,0.405607449624573,0.216811308924743
0.394,0.404503778174426,0.217527375833714
0.395,0.403402904373539,0.218244625347531
0.396,0.402304814074487,0.218963061378868
0.397,0.401209493236885,0.219682687859849
0.398,0.400116927926312,0.220403508742176
0.399,0.399027104313251,0.221125527997261
0.4,0.397940008672037,0.221848749616357
0.401,0.396855627379817,0.222573177610689
0.402,0.39577394691553,0.223298816011589
0.403,0.39469495385889,0.224025668870631
0.404,0.393618634889395,0.224753740259764
0.405,0.392544976785331,0.225483034271451
0.406,0.391473966422806,0.226213555018807
0.407,0.39040559077478,0.226945306635738
0.408,0.38933983691012,0.22767829327708
0.409,0.388276691992658,0.228412519118745
0.41,0.387216143280264,0.229147988357856
0.411,0.38615817812393,0.229884705212898
0.412,0.385102783966865,0.230622673923862
0.413,0.384049948343599,0.231361898752386
0.414,0.382999658879101,0.23210238398191
0.415,0.381951903287907,0.23284413391782
0.416,0.380906669373257,0.233587152887601
0.417,0.379863945026242,0.234331445240986
0.418,0.378823718224964,0.235077015350112
0.419,0.377785977033704,0.235823867609669
0.42,0.376750709602099,0.236572006437063
0.421,0.375717904164331,0.237321436272564
